iter	Accuracy	Logloss
0	0.7043478261	0.6065290934
1	0.7869565217	0.542617427
2	0.7869565217	0.5205668103
3	0.7826086957	0.4904617199
4	0.7956521739	0.4470941367
5	0.8217391304	0.4318186192
6	0.8173913043	0.4177141969
7	0.8260869565	0.4040723748
8	0.8347826087	0.392074502
9	0.8304347826	0.3878386848
10	0.8347826087	0.3783968261
11	0.8347826087	0.3779873658
12	0.8347826087	0.3758217098
13	0.8391304348	0.3752920365
14	0.8434782609	0.3688836605
15	0.8434782609	0.3667333242
16	0.8434782609	0.361956185
17	0.8434782609	0.3569950363
18	0.8434782609	0.355491707
19	0.8434782609	0.3549706924
20	0.8434782609	0.3546639173
21	0.847826087	0.3514867871
22	0.847826087	0.3511626449
23	0.8434782609	0.3468625526
24	0.8434782609	0.3465637556
25	0.852173913	0.3412398857
26	0.847826087	0.3369812292
27	0.847826087	0.336629565
28	0.847826087	0.3345819877
29	0.852173913	0.334171885
30	0.847826087	0.3338462247
31	0.852173913	0.3335975404
32	0.852173913	0.3332846338
33	0.852173913	0.3332735573
34	0.847826087	0.3329963212
35	0.852173913	0.3326137838
36	0.852173913	0.3326115974
37	0.852173913	0.332441718
38	0.852173913	0.3321787126
39	0.852173913	0.3320472036
40	0.852173913	0.3320462246
41	0.852173913	0.3317929008
42	0.852173913	0.3315901043
43	0.852173913	0.3313724411
44	0.8565217391	0.3284111219
45	0.8565217391	0.328391431
46	0.8565217391	0.3278482796
47	0.847826087	0.3243526099
48	0.852173913	0.3240430584
49	0.852173913	0.3237990916
50	0.847826087	0.3236637566
51	0.852173913	0.323383219
52	0.847826087	0.3232997461
53	0.852173913	0.3230558084
54	0.852173913	0.3228420982
55	0.8565217391	0.3197508493
56	0.8695652174	0.3165711676
57	0.8652173913	0.3163493127
58	0.8652173913	0.3162903735
59	0.8565217391	0.3141628845
60	0.8565217391	0.3139435039
61	0.8565217391	0.3139411427
62	0.8565217391	0.3137462271
63	0.8565217391	0.3135415584
64	0.8565217391	0.3134310575
65	0.8608695652	0.3132524173
66	0.8608695652	0.3129074672
67	0.8608695652	0.3128549633
68	0.8608695652	0.312844428
69	0.8608695652	0.312813211
70	0.8652173913	0.312717033
71	0.8652173913	0.312553124
72	0.8652173913	0.3125248632
73	0.8652173913	0.3125216621
74	0.8652173913	0.3125206855
75	0.8652173913	0.3123525979
76	0.8739130435	0.3095006838
77	0.8739130435	0.309457914
78	0.8739130435	0.3075880219
79	0.8739130435	0.3075828933
80	0.8739130435	0.307573458
81	0.8739130435	0.3067496619
82	0.8739130435	0.3050009101
83	0.8739130435	0.3038704766
84	0.8739130435	0.3038686291
85	0.8739130435	0.3038644164
86	0.8739130435	0.3038632489
87	0.8695652174	0.3021682398
88	0.8695652174	0.3013808799
89	0.8695652174	0.3011667984
90	0.8695652174	0.3005922989
91	0.8695652174	0.3003253187
92	0.8739130435	0.2999476066
93	0.8739130435	0.2999328307
94	0.8739130435	0.2999280207
95	0.8739130435	0.2999277838
96	0.8739130435	0.2999242836
97	0.8739130435	0.2998037525
98	0.8739130435	0.2993772395
99	0.8739130435	0.2969773297
100	0.8739130435	0.2969748372
101	0.8739130435	0.2965725302
102	0.8782608696	0.2938768538
103	0.8782608696	0.2937651596
104	0.8782608696	0.2937480255
105	0.8782608696	0.2937369414
106	0.8826086957	0.2919444848
107	0.8826086957	0.2918421888
108	0.8826086957	0.2918420711
109	0.8826086957	0.2916370233
110	0.8869565217	0.2913160968
111	0.8869565217	0.2912528571
112	0.8869565217	0.291218414
113	0.8869565217	0.2912176817
114	0.8869565217	0.2911978209
115	0.8913043478	0.2908004052
116	0.8913043478	0.2906795423
117	0.8913043478	0.2905766429
118	0.8913043478	0.2904360314
119	0.8913043478	0.2904352257
