iter	Passed	Remaining
0	55	6644
1	59	3522
2	60	2345
3	60	1753
4	60	1398
5	61	1161
6	63	1019
7	64	906
8	65	809
9	71	782
10	71	710
11	73	657
12	74	609
13	75	572
14	80	562
15	83	544
16	84	514
17	85	487
18	86	459
19	86	434
20	87	412
21	87	391
22	88	372
23	88	355
24	89	340
25	90	325
26	91	314
27	92	302
28	92	290
29	94	282
30	94	272
31	95	262
32	96	254
33	97	245
34	97	237
35	99	231
36	100	226
37	101	218
38	102	213
39	104	209
40	104	202
41	106	198
42	109	196
43	109	189
44	110	184
45	112	180
46	112	175
47	113	170
48	114	166
49	115	161
50	118	159
51	118	155
52	119	151
53	122	149
54	122	145
55	123	141
56	126	140
57	128	136
58	129	134
59	130	130
60	132	127
61	133	124
62	134	121
63	134	117
64	134	114
65	136	111
66	138	109
67	144	110
68	144	107
69	145	103
70	145	100
71	146	97
72	146	94
73	147	91
74	147	88
75	148	85
76	148	83
77	149	80
78	149	77
79	150	75
80	150	72
81	151	70
82	153	68
83	154	66
84	154	63
85	156	61
86	156	59
87	157	57
88	157	54
89	158	52
90	158	50
91	158	48
92	159	46
93	159	44
94	159	42
95	159	39
96	160	38
97	161	36
98	161	34
99	163	32
100	163	30
101	164	29
102	164	27
103	165	25
104	165	23
105	166	21
106	166	20
107	166	18
108	167	16
109	167	15
110	167	13
111	168	12
112	168	10
113	169	8
114	169	7
115	170	5
116	170	4
117	171	2
118	171	1
119	172	0
